horizon,side,bucket,n,avg_side_aligned_skew_bps,avg_mid_move_bps,median_mid_move_bps,avg_fill_edge_bps
5m,buy,<-0.05bps,1,-0.07129792053199356442535486451,-0.6480234584491958608901642239,-0.6480234584491958608901642239,0.1713395358245301813258973308
5m,buy,"[-0.05,-0.01)bps",0,,,,
5m,buy,"[-0.01,0.0)bps",383,-0.0005884455127988354919046736621,-0.2125304685103536548922011503,0.9083079293061920158925629160,0.2264942456965243547531172291
5m,buy,"[0.0,0.01)bps",20,0.0003324199766932466463467739770,7.96656461102047612208756299,8.451583754711716907134916605,0.2593862025779575497564859668
5m,buy,"[0.01,0.05)bps",0,,,,
5m,buy,>=0.05bps,0,,,,
5m,sell,<-0.05bps,0,,,,
5m,sell,"[-0.05,-0.01)bps",3,-0.03125491281372363884628850032,2.773022178523064498761529850,4.189280651658348701912490629,0.07245306864689731850844532457
5m,sell,"[-0.01,0.0)bps",404,-0.0005739925055030422548380157151,-3.506605190372338881069570324,-2.398823471269865314795266800,0.2242022176673545108781731621
5m,sell,"[0.0,0.01)bps",38,0.0002592338418083730812921339895,0.7623867482137973858850316213,-0.0664720257796061321889903117,0.3261772975561970522883870784
5m,sell,"[0.01,0.05)bps",0,,,,
5m,sell,>=0.05bps,0,,,,
